Num;IDtree;field_name;genus.y;species.y;family;plot;subplot;x;y
14280;25_1_20_2;ouossoupalie.a.fleurs.mauves;Erythrina;mildbraedii;Fabaceae;25;1;1768,2;214,2
14281;25_1_20_3;samba;Triplochiton;scleroxylon;Malvaceae;25;1;1767,72;209,5
14282;25_1_20_4;asan;Celtis;zenkeri;Cannabaceae;25;1;1777,54;201,6
14283;25_1_20_5;kaka;Blighia;welwitschii;Sapindaceae;25;1;1762,82;215,8
14284;25_1_21_1;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1795;201,6
14285;25_1_21_2;asamoiake;Trichilia;prieuriana;Meliaceae;25;1;1793,94;202,3
14286;25_1_21_3;cedrela;Cedrela;odorata;Meliaceae;25;1;1786,83;202,5
14287;25_1_21_4;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;25;1;1785,82;202,3
14288;25_1_21_5;loloti;Lannea;welwitschii;Anacardiaceae;25;1;1782,73;203
14289;25_1_21_6;paintou;Vitex;ferruginea;Lamiaceae;25;1;1789,28;210
14290;25_1_21_7;lati;Amphimas;pterocarpoides;Fabaceae;25;1;1784,7;212,1
14291;25_1_21_8;samba;Triplochiton;scleroxylon;Malvaceae;25;1;1782,7;212,08
14292;25_1_21_9;ba;Celtis;mildbraedii;Cannabaceae;25;1;1787,8;218,83
14293;25_1_22_1;akatio;Chrysophyllum;africanum;Sapotaceae;25;1;1794;238,1
14294;25_1_22_2;eho;Ricinodendron;heudelotii;Euphorbiaceae;25;1;1785,36;240
14295;25_1_22_3;eho;Ricinodendron;heudelotii;Euphorbiaceae;25;1;1784,36;239
14296;25_1_22_4;cedrela;Cedrela;odorata;Meliaceae;25;1;1781,2;237,4
14297;25_1_23_1;eho;Ricinodendron;heudelotii;Euphorbiaceae;25;1;1782,02;246
14298;25_1_23_2;cedrela;Cedrela;odorata;Meliaceae;25;1;1783,98;251,4
14299;25_1_23_3;cedrela;Cedrela;odorata;Meliaceae;25;1;1784,14;255,5
14300;25_1_23_4;cedrela;Cedrela;odorata;Meliaceae;25;1;1785,42;259,2
14301;25_1_23_5;cedrela;Cedrela;odorata;Meliaceae;25;1;1792,1;260
14302;25_1_23_6;pore_pore;Sterculia;tragacantha;Malvaceae;25;1;1796;254,2
14303;25_1_24_1;cedrela;Cedrela;odorata;Meliaceae;25;1;1795,5;263,19
14304;25_1_24_2;cedrela;Cedrela;odorata;Meliaceae;25;1;1791,62;262,46
